,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,country,salary
0,39,4,77516,0,13,0,4,4,0,0,2174,0,40,18,0
1,50,7,83311,0,13,6,6,5,0,0,0,0,13,18,0
2,38,3,215646,6,9,4,1,4,0,0,0,0,40,18,0
3,53,3,234721,9,7,6,1,5,4,0,0,0,40,18,0
4,28,3,338409,0,13,6,2,2,4,1,0,0,40,19,0
5,37,3,284582,14,14,6,6,2,0,1,0,0,40,18,0
6,49,3,160187,5,5,5,3,4,4,1,0,0,16,24,0
7,52,7,209642,6,9,6,6,5,0,0,0,0,45,18,1
8,31,3,45781,14,14,0,2,4,0,1,14084,0,50,18,1
9,42,3,159449,0,13,6,6,5,0,0,5178,0,40,18,1
10,37,3,280464,1,10,6,6,5,4,0,0,0,80,18,1
11,30,4,141297,0,13,6,2,5,3,0,0,0,40,32,1
12,23,3,122272,0,13,0,4,3,0,1,0,0,30,18,0
13,32,3,205019,10,12,0,5,4,4,0,0,0,50,18,0
14,40,3,121772,12,11,6,7,5,3,0,0,0,40,23,1
15,34,3,245487,3,4,6,8,5,1,0,0,0,45,37,0
16,25,7,176756,6,9,0,12,3,0,0,0,0,35,18,0
17,32,3,186824,6,9,0,13,1,0,0,0,0,40,18,0
18,38,3,28887,9,7,6,5,5,0,0,0,0,50,18,0
19,43,7,292175,14,14,4,6,1,0,1,0,0,45,18,1
20,40,3,193524,7,16,6,2,5,0,0,0,0,60,18,1
21,54,3,302146,6,9,2,3,1,4,1,0,0,20,18,0
22,35,5,76845,5,5,6,12,5,4,0,0,0,40,18,0
23,43,3,117037,9,7,6,8,5,0,0,0,2042,40,18,0
24,59,3,109015,6,9,4,9,1,0,1,0,0,40,18,0
25,56,6,216851,0,13,6,9,5,0,0,0,0,40,18,1
26,19,3,168294,6,9,0,7,3,0,0,0,0,40,18,0
27,54,8,180211,1,10,6,14,5,3,0,0,0,60,4,1
28,39,3,367260,6,9,4,6,4,0,0,0,0,80,18,0
29,49,3,193366,6,9,6,7,5,0,0,0,0,40,18,0
30,23,6,190709,10,12,0,11,4,0,0,0,0,52,18,0
31,20,3,266015,1,10,0,5,3,4,0,0,0,44,18,0
32,45,3,386940,0,13,4,6,3,0,0,0,1408,40,18,0
33,30,5,59951,1,10,6,4,3,0,0,0,0,40,18,0
34,22,4,311512,1,10,6,3,5,4,0,0,0,15,18,0
35,48,3,242406,9,7,0,13,1,0,0,0,0,40,1,0
36,21,3,197200,1,10,0,13,3,0,0,0,0,40,18,0
37,19,3,544091,6,9,3,4,2,0,1,0,0,25,18,0
38,31,3,84154,1,10,6,5,5,0,0,0,0,38,23,1
39,48,7,265477,10,12,6,2,5,0,0,0,0,40,18,0
40,31,3,507875,5,5,6,13,5,0,0,0,0,43,18,0
41,53,7,88506,0,13,6,2,5,0,0,0,0,40,18,0
42,24,3,172987,0,13,6,9,5,0,0,0,0,50,18,0
43,49,3,94638,6,9,2,4,1,0,1,0,0,40,18,0
44,25,3,289980,6,9,0,1,4,0,0,0,0,35,18,0
45,57,5,337895,0,13,6,2,5,4,0,0,0,40,18,1
46,53,3,144361,6,9,6,13,5,0,0,0,0,38,18,0
47,44,3,128354,14,14,4,6,1,0,1,0,0,40,18,0
48,41,4,101603,12,11,6,7,5,0,0,0,0,40,18,0
49,29,3,271466,12,11,0,2,4,0,0,0,0,43,18,0
50,25,3,32275,1,10,6,6,2,2,1,0,0,40,18,0
51,18,3,226956,6,9,0,3,3,0,1,0,0,30,23,0
52,47,3,51835,4,15,6,2,2,0,1,0,1902,60,36,1
53,50,5,251585,0,13,4,6,4,0,0,0,0,55,18,1
54,47,0,109832,6,9,4,6,4,0,0,0,0,60,18,0
55,43,3,237993,1,10,6,9,5,0,0,0,0,40,18,1
56,46,3,216666,13,3,6,13,5,0,0,0,0,40,37,0
57,35,3,56352,12,11,6,3,5,0,0,0,0,40,1,0
58,41,3,147372,6,9,6,4,5,0,0,0,0,48,18,0
59,30,3,188146,6,9,6,13,5,0,0,5013,0,40,18,0
60,30,3,59496,0,13,6,5,5,0,0,2407,0,40,18,0
61,32,8,293936,3,4,5,14,4,0,0,0,0,40,23,0
62,48,3,149640,6,9,6,8,5,0,0,0,0,40,18,0
63,42,3,116632,7,16,6,2,5,0,0,0,0,45,18,1
64,29,3,105598,1,10,4,9,4,0,0,0,0,58,18,0
65,36,3,155537,6,9,6,7,5,0,0,0,0,40,18,0
66,28,3,183175,1,10,4,4,4,0,1,0,0,40,18,0
67,53,3,169846,6,9,6,4,2,0,1,0,0,40,18,1
68,49,0,191681,1,10,6,6,5,0,0,0,0,50,18,1
69,25,8,200681,1,10,0,14,3,0,0,0,0,40,18,0
70,19,3,101509,1,10,0,2,3,0,0,0,0,32,18,0
71,31,3,309974,0,13,2,5,3,4,1,0,0,40,18,0
72,29,7,162298,0,13,6,5,5,0,0,0,0,70,18,1
73,23,3,211678,1,10,0,13,4,0,0,0,0,40,18,0
74,79,3,124744,1,10,6,2,0,0,0,0,0,20,18,0
75,27,3,213921,6,9,0,3,3,0,0,0,0,40,37,0
76,40,3,32214,10,12,6,4,5,0,0,0,0,40,18,0
77,67,8,212759,8,6,6,14,5,0,0,0,0,2,18,0
78,18,3,309634,9,7,0,3,3,0,1,0,0,22,18,0
79,31,6,125927,3,4,6,12,5,0,0,0,0,40,18,0
80,18,3,446839,6,9,0,5,4,0,0,0,0,30,18,0
81,52,3,276515,0,13,6,3,5,0,0,0,0,40,19,0
82,46,3,51618,6,9,6,3,2,0,1,0,0,40,18,0
83,59,3,159937,6,9,6,5,5,0,0,0,0,48,18,0
84,44,3,343591,6,9,4,7,4,0,1,14344,0,40,18,1
85,53,3,346253,6,9,4,5,3,0,1,0,0,35,18,0
86,49,6,268234,6,9,6,11,5,0,0,0,0,40,18,1
87,33,3,202051,14,14,6,2,5,0,0,0,0,50,18,0
88,30,3,54334,5,5,0,5,4,0,0,0,0,40,18,0
89,43,5,410867,7,16,0,2,4,0,1,0,0,50,18,1
90,57,3,249977,12,11,6,2,5,0,0,0,0,40,18,0
91,37,3,286730,1,10,4,7,1,0,1,0,0,40,18,0
92,28,3,212563,1,10,4,13,1,4,1,0,0,25,18,0
93,30,3,117747,6,9,6,5,2,3,1,0,1573,35,23,0
94,34,6,226296,0,13,6,11,5,0,0,0,0,40,18,1
95,29,6,115585,1,10,0,1,4,0,0,0,0,50,18,0
96,48,7,191277,7,16,6,2,5,0,0,0,1902,60,18,1
97,37,3,202683,1,10,6,5,5,0,0,0,0,48,18,1
98,48,3,171095,10,12,4,6,1,0,1,0,0,40,35,0
99,32,5,249409,6,9,0,3,3,4,0,0,0,40,18,0
100,76,3,124191,14,14,6,6,5,0,0,0,0,40,18,1
101,44,3,198282,0,13,6,6,5,0,0,15024,0,60,18,1
102,47,7,149116,14,14,0,2,4,0,1,0,0,50,18,0
103,20,3,188300,1,10,0,9,3,0,1,0,0,40,18,0
104,29,3,103432,6,9,0,7,4,0,0,0,0,40,18,0
105,32,0,317660,6,9,6,7,5,0,0,7688,0,40,18,1
106,17,8,304873,8,6,0,14,3,0,1,34095,0,32,18,0
107,30,3,194901,9,7,0,1,3,0,0,0,0,40,18,0
108,31,6,189265,6,9,0,4,4,0,1,0,0,40,18,0
109,42,3,124692,6,9,6,1,5,0,0,0,0,40,18,0
110,24,3,432376,0,13,0,5,0,0,0,0,0,40,18,0
111,38,3,65324,4,15,6,2,5,0,0,0,0,40,18,1
112,56,7,335605,6,9,6,3,5,0,0,0,1887,50,34,1
113,28,3,377869,1,10,6,5,2,0,1,4064,0,25,18,0
114,36,3,102864,6,9,0,13,3,0,1,0,0,40,18,0
115,53,3,95647,5,5,6,1,5,0,0,0,0,50,18,0
